Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,16/09/2025 16:45,PSV Stadion,PSV,Union SG,1 - 3
2,1,16/09/2025 16:45,Estadio de San Mamés,Athletic Club,Arsenal,0 - 2
3,1,16/09/2025 19:00,Estadio Santiago Bernabéu,Real Madrid,Marseille,2 - 1
4,1,16/09/2025 19:00,Estádio do SL Benfica,Benfica,Qarabag,2 - 3
5,1,16/09/2025 19:00,Juventus Stadium,Juventus,B. Dortmund,4 - 4
6,1,16/09/2025 19:00,Tottenham Hotspur Stadium,Tottenham,Villarreal,1 - 0
7,1,17/09/2025 16:45,Stadio Georgios Karaiskakis,Olympiacos,Pafos,0 - 0
8,1,17/09/2025 16:45,Eden Arena,Slavia Praha,Bodø/Glimt,2 - 2
9,1,17/09/2025 19:00,Parc des Princes,Paris,Atalanta,4 - 0
10,1,17/09/2025 19:00,Fußball Arena München,Bayern München,Chelsea,3 - 1
11,1,17/09/2025 19:00,Anfield,Liverpool,Atleti,3 - 2
12,1,17/09/2025 19:00,Johan Cruijff ArenA,Ajax,Inter,0 - 2
13,1,18/09/2025 16:45,Jan Breydelstadion,Club Brugge,Monaco,4 - 1
14,1,18/09/2025 16:45,Parken,Copenhagen,Leverkusen,2 - 2
15,1,18/09/2025 19:00,City of Manchester Stadium,Man City,Napoli,2 - 0
16,1,18/09/2025 19:00,Frankfurt Stadion,Frankfurt,Galatasaray,5 - 1
17,1,18/09/2025 19:00,Estádio José Alvalade,Sporting CP,Kairat Almaty,4 - 1
18,1,18/09/2025 19:00,St James' Park,Newcastle,Barcelona,1 - 2
19,2,30/09/2025 16:45,Stadio di Bergamo,Atalanta,Club Brugge,2 - 1
20,2,30/09/2025 16:45,Almaty Ortalyk Stadion,Kairat Almaty,Real Madrid,0 - 5
21,2,30/09/2025 19:00,Stadio San Siro,Inter,Slavia Praha,3 - 0
22,2,30/09/2025 19:00,Stamford Bridge,Chelsea,Benfica,1 - 0
23,2,30/09/2025 19:00,Estadio Metropolitano,Atleti,Frankfurt,5 - 1
24,2,30/09/2025 19:00,Aspmyra,Bodø/Glimt,Tottenham,2 - 2
25,2,30/09/2025 19:00,Stade de Marseille,Marseille,Ajax,4 - 0
26,2,30/09/2025 19:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Liverpool,1 - 0
27,2,30/09/2025 19:00,Limassol Stadium,Pafos,Bayern München,1 - 5
28,2,01/10/2025 16:45,RSC Anderlecht Stadium,Union SG,Newcastle,0 - 4
29,2,01/10/2025 16:45,Tofiq Bahramov Republican Stadium,Qarabag,Copenhagen,2 - 0
30,2,01/10/2025 19:00,Arsenal Stadium,Arsenal,Olympiacos,2 - 0
31,2,01/10/2025 19:00,BayArena,Leverkusen,PSV,1 - 1
32,2,01/10/2025 19:00,Estadio de la Cerámica,Villarreal,Juventus,2 - 2
33,2,01/10/2025 19:00,Stadio Diego Armando Maradona,Napoli,Sporting CP,2 - 1
34,2,01/10/2025 19:00,Stade Louis II,Monaco,Man City,2 - 2
35,2,01/10/2025 19:00,BVB Stadion Dortmund,B. Dortmund,Athletic Club,4 - 1
